base_items,add_items,support,confidence,lift
Jane Eyre,Water for Elephants,0.019968051118210862,0.28735632183908044,4.400857675137966
Water for Elephants,The 7 Habits of Highly Effective People,0.019768370607028754,0.30275229357798167,2.984613161886874
"The Alchemist, The Art of War",The 7 Habits of Highly Effective People,0.019568690095846646,0.23167848699763594,2.2839485489845686
"The 7 Habits of Highly Effective People, The Art of War",The Alchemist,0.019568690095846646,0.6012269938650306,3.1008700157323106
"The 7 Habits of Highly Effective People, The Alchemist",The Art of War,0.019568690095846646,0.35251798561151076,2.3382914860164847
"The Alchemist, Think and Grow Rich",Harry Potter and the Sorcerer's Stone (Book 1),0.01896964856230032,0.30448717948717946,2.4875559459572507
"Harry Potter and the Sorcerer's Stone (Book 1), Think and Grow Rich",The Alchemist,0.01896964856230032,0.7723577235772358,3.9834886505404707
"Harry Potter and the Sorcerer's Stone (Book 1), The Alchemist",Think and Grow Rich,0.01896964856230032,0.3505535055350554,3.1803839777528213
Harry Potter and the Prisoner of Azkaban (Book 3),Harry Potter and the Half-Blood Prince (Book 6),0.018769968051118212,0.2781065088757396,6.003264639869415
Harry Potter and the Half-Blood Prince (Book 6),Harry Potter and the Prisoner of Azkaban (Book 3),0.018769968051118212,0.4051724137931034,6.003264639869415
The Screwtape Letters,The Art of War,0.018769968051118212,0.3560606060606061,2.361790086293398
The Mysterious Mr. Quin,Death in the Clouds,0.018170926517571885,0.3568627450980392,8.235800126502212
Death in the Clouds,The Mysterious Mr. Quin,0.018170926517571885,0.41935483870967744,8.235800126502212
Harry Potter and the Order of the Phoenix (Book 5),Harry Potter and the Sorcerer's Stone (Book 1),0.017971246006389777,0.33707865168539325,2.7538171087119894
Jane Eyre,The 7 Habits of Highly Effective People,0.017971246006389777,0.25862068965517243,2.5495519956557153
"The Art of War, Think and Grow Rich",The Alchemist,0.017971246006389777,0.6293706293706294,3.2460227722843586
"The Alchemist, Think and Grow Rich",The Art of War,0.017971246006389777,0.28846153846153844,1.913397860417728
"The Alchemist, The Art of War",Think and Grow Rich,0.017971246006389777,0.2127659574468085,1.9303114400246686
The Art of Loving,The Art of War,0.017771565495207666,0.2656716417910448,1.7622299100523868
"The Alchemist, Think and Grow Rich",Beyond Good and Evil,0.017771565495207666,0.28525641025641024,4.355378361475922
"Beyond Good and Evil, Think and Grow Rich",The Alchemist,0.017771565495207666,0.7416666666666667,3.8251973910058354
"Beyond Good and Evil, The Alchemist",Think and Grow Rich,0.017771565495207666,0.6402877697841727,5.808987592534668
Beyond Good and Evil,"The Alchemist, Think and Grow Rich",0.017771565495207666,0.27134146341463417,4.355378361475922
The Screwtape Letters,Getting Things Done,0.01757188498402556,0.3333333333333333,10.178861788617885
Getting Things Done,The Screwtape Letters,0.01757188498402556,0.5365853658536586,10.178861788617885
A Short History of Nearly Everything,The Art of War,0.01737220447284345,0.435,2.8854039735099337
The Mysterious Mr. Quin,The Big Four,0.01737220447284345,0.3411764705882353,6.622526219790241
The Big Four,The Mysterious Mr. Quin,0.01737220447284345,0.3372093023255814,6.622526219790241
"The Art of War, The Hollow",The Alchemist,0.01737220447284345,0.8365384615384616,4.314505268161293
"The Alchemist, The Hollow",The Art of War,0.01737220447284345,0.7016129032258065,4.653877376628925
"The Alchemist, The Art of War",The Hollow,0.01737220447284345,0.20567375886524822,2.5122297180418616
